aachen;akwizgran,
thorn;toruñ
thriller;thriller,dreszczowiec
thulium;tul (pierwiastek chemiczny)
thunfisch;tuñczyk
tiefe;g³êbokoœæ,g³êbia,g³êbina,g³¹b
tier;zwierzê
tierarzt;weterynarz
tiger;tygrys
tintenstrahldrucker;drukarka atramentowa
tisch;stó³,sto³owy
tischler;stolarz
tischplatte;blat
titan;tytan
titel;tytu³
tizianrot;tycjanowski,miedziany (o kolorze)
toast;toast
tochter;córka
tod;œmieræ
toillete;toaleta
toll;fajny,super
tomate;pomidor
tomatensuppe;zupa pomidorowa,pomidorówka
ton;ton
tonsille;migda³ek
tool;narzêdzie (inform.)
topf;garne,nocnik,doniczka
topness;prawda
topographie;topografia
top-quark;kwark szczytowy
tor;brama
torhüter;bramkarz
tot;martwy
touchscreen;ekran dotykowy
toupet;tupet
tourist;turysta
touristisch;turystyczny
traf;przypadek,losowe wydarzenie
trafo;transformator
tragen;nosiæ,nieœæ,dŸwigaæ,ponosiæ,nosiæ (ubranie),obradzaæ,wydawaæ obfity plon
träger;tragarz,r¹mi¹czko (bluzki),szelka (spódnicy),dŸwigar,noœnik (chemia),instytucja (publiczna)
tragflächenboot;wodolot
tram;tramwaj
trance;trans
tranchieren;pokroiæ,kroiæ
träne;³za
tränen lachen;p³akaæ ze œmiechu
transaktion;transakcja
transfer;transfer,transport
transformator;transformator
trasse;trasa
traum;sen,marzenie senne,marzenie,¿yczenie,wymarzony
treffen;trafiæ,zgadn¹æ,zgadywaæ,spotykaæ,trafiaæ,spotykaæ siê
treiber;sterownik (inform.)
trennen;rozdzieliæ,oddzieliæ,roz³¹czyæ,oddzielaæ,rozgraniczaæ,dzieliæ,dzieliæ,izolowaæ siê,rozdzielaæ siê,rozstawaæ siê,koñczyæ ze sob¹
treppe;schody
tresor;sejf
treten;deptaæ
trichter;lejek
trinken;piæ
trinkgeld;napiwek
trocken;suchy,sucho
trocknen;suchy,usch³y,wytrawny,nudny
trog;koryto,rynna
trolleybus;trolejbus
trompete;tr¹ba,tr¹bka
trompeten;tr¹biæ
trompeter;trêbacz
trompeterin;trêbaczka
tropf;kroplówka
tropfen;kropla,wino
trostpreis;nagroda pocieszenia
trotz;mimo
trüffel;trufla
trunk;napój
truth;prawda
truthahn;indyk,indor
truth-quark;kwark szczytowy
tschechien;czechy
tschechisch;czeski
tschenstochau;czêstochowa
tschüss!;czeœæ!
tuberkulose;gruŸlica
tuch;chusta,chustka,sukno
tüchtig;dzielny
tückisch;podstêpny,zdradziecki
tümmler;morœwin
tür;drzwi
türkei;turcja
türkisch;jêzyk turecki,turecki
tugend;cnota
tukan;tukan
tulpe;tulipan
tumor;guz
tumult;zgie³k,wrzawa,tumult
tun;postêpowanie,dzia³anie,robiæ,czyniæ,udawaæ,wystarczaæ,krzywdziæ
tunesien;tunezja
tunnel;tunel
turkmenistan;turkmenistan
turm;wie¿a (budowla),wie¿a (figura w szachach)
turmbau zu babel;wie¿a babel
uber;ponad
ubermorgen;pojutrze
udssr;zwi¹zek socjalistycznych republik radzieckich
übelkeit;md³oœci
üben;æwiczyæ,trenowaæ (np. sport),dokonywaæ,wykonywaæ,æwiczyæ,æwiczyæ siê
über;nad,na,ponad,powy¿ej,przez (na trasie)
überempfindlich;nadwra¿liwy,przewra¿liwiony,przesadnie wra¿liwy na jakimœ punkcie
überfall;napad,najœcie (iron.)
überfallen;napaœæ (zaatakowaæ),nachodziæ (sk³adaæ wizytê bez zapowiedzi),zaskoczyæ kogoœ
überflüssig;przesadnie
überholt;przestarza³y
überleben;prze¿yæ,ujœæ z ¿yciem,prze¿yæ,prze¿yæ kogoœ (do¿yæ bardziej sêdziwego wieku,prze¿yæ siê (wyjœæ z mody,z u¿ycia
übernahme;przejêcie,objêcie
überraschen;zaskakiwaæ
überraschend;niespodziewany,zaskakuj¹cy,niespodziewanie,zaskakuj¹co
überraschung;zaskoczenie,niespodzianka
übersehen;przeoczyæ,pomin¹æ
übersetzen;t³umaczyæ,przeprawiaæ,przeprawiaæ siê
übersetzer;t³umacz
übersetzerin;t³umaczka
übersetzung;t³umaczenie,przek³adnia
übersteigen;przekraczaæ,przechodziæ,przerastaæ,przewy¿szaæ
überzeugen;przekonywaæ,perswadowaæ,przekonaæ siê
üblich;zwyk³y,utarty,normalny
übung;æwiczenie
u-haft;areszt œledczy
uhr;zegar,zegarek,godzina
uhu;puchacz
ukraine;ukraina
ulme;wi¹z
umbringen;zabiæ,zamordowaæ
umfang;obwód,wielkoœæ,rozmiar,iloœæ,zakres
umfassen;chwytaæ,obejmowaæ,otaczaæ
umfrage;ankieta,sonda,badanie opinii
umgehungsstraße;obwodnica
umleitung;objazd
ums leben kommen;straciæ ¿ycie
umsatzsteuer;podatek obrotowy
umstellung;prze³¹czenie,przestawienie,zmiana
umwälzend;rewolucyjny,nowatorski
umweg;droga okrê¿na
umweltzerstörung;degradacja œrodowiska naturalnego
umziehen;przeprowadzaæ siê,przebieraæ siê
un;pewien,któryœ,g³ówny jeden,porz¹dkowy pierwszy,jedynka,jeden,jeden,pierwszy
unangenehm;niemi³y,nieprzyjemny
und wie!;i to jak
und;i,a
undankbarkeit;niewdziêcznoœæ
uneigennützig;bezinteresowny,altruistyczny,bezinteresownie
unfall;wypadek
ungarn;wêgry
ungewollt;niechciany
ungültig;niewa¿ny
unlieb;niemi³y
unmöglich;niemo¿liwy
unmöglichkeit;niemo¿liwoœæ,niemo¿noœæ
unnötig;niepotrzebny,niepotrzebnie
uns;nam,nas
unser;nasz,nas
unsere;nasze
unter zuhilfenahme;przy pomocy
unter;pod,poni¿ej,wœród
unterarm;przedramiê
unterbrechen;przerywaæ,wstrzymywaæ
untergang;zachód (np. s³oñca),zmierzch,zatoniêcie,upadek,koniec,kres
untergehen;zachodziæ (o s³oñcu,ksiê¿ycu),znikaæ za horyzontem,zaton¹æ,znikn¹æ pod powierzchni¹ wody,upaœæ,zgin¹æ,znikn¹æ (o pañstwie,kulturze),nikn¹æ,gin¹æ
unterhalb;poni¿ej,poni¿ej
unterkleid;halka
unterkleidung;bielizna
untersagen;zabraniaæ
unterscheiden;odró¿niaæ,rozró¿niaæ
unterschied;ró¿nica
unterstützen;wspieraæ,wspomagaæ,popieraæ
untertan;poddany,podleg³y,podw³adny
unterzeichnen;podpisywaæ,sygnowaæ
unterzeichnung;podpis
ununbium;ununbium (pierwiastek chemiczny)
unwahrheit;nieprawda
unweit;niedaleko
uploaden;wgraæ na serwer (inform.)
up-quark;kwark górny
uran;uran (planeta)
uranus;uran (bóg)
urgroßeltern;pradziadkowie
urin;mocz
urlaub;urlop
vagina;pochwa
vanadin;wanad (pierwiastek chemiczny)
vanadium;wanad (pierwiastek chemiczny)
vater;ojciec
vaterland;ojczyzna
venus;wenus (planeta)
veraltet;przestarza³y
veranda;weranda
verb;czasownik
verbinden;wi¹zaæ,powi¹zaæ,³¹czyæ
verbindung;po³¹czenie (np. kolejowe),zwi¹zek chemiczny
verbot;zakaz
verboten;zakazany,zabroniony
verbrauchen;zu¿ywaæ
verbrauchssteuer;podatek konsumpcyjny
verbrecher;przestêpca
verbrennung;spalenie,spalanie,kremacja,spalenie na stosie,oparzenie
verbringen;spêdzaæ
verdanken;zawdziêczaæ
verdienen;zarabiaæ,zarabiaæ
vereinbaren;uzgadniaæ,umawiaæ siê,pogodziæ (siê
vereinigte staaten;stany zjednoczone,usa
vereinigungsmenge;suma zbiorów
verfassen;pisaæ,sporz¹dzaæ
verfasser;autor
verfassung;konstytucja
verfügung;zarz¹dzenie (oficjalne),dekret,dyspozycja,polecenie,nakaz
verg.;rodzaj ¿eñski
vergangenheit;przesz³oœæ
vergeben;przebaczyæ
vergessen;zapomnieæ,zapominaæ
verhallen;przebrzmiewaæ
verhältnis;stosunek,proporcja,porównanie,stosunek (dwóch ludzi do siebie),relacja,romans,lm liczba mnoga warunki
verhaltungsmaßregel;wskazówki co do zachowania siê
verhängnis;zguba,fatum,los
verheiratet;¿onaty,zamê¿na
verhungern;umrzeæ z g³odu,œmieræ z g³odu
verjährung;przedawnienie
verkanten;przechylaæ,przekrzywiaæ
verkappt;ukryty
verkaufen;sprzedawaæ
verkaufsbedingungen;warunki sprzeda¿y
verkehr;ruch,komunikacja,transport
verkehrsader;arteria komunikacyjna
verkehrsbehinderungen;utrudnienia w komunikacji
verkehrsbelastung;obci¹¿enie ruchem
verkehrsknotenpunkt;wêze³ komunikacyjny
verkehrsregelung;regulacja ruchu
verlag;wydawnictwo
verlassen;opuszczaæ,porzucaæ,polegaæ na,zdawaæ siê na
verlieren;straciæ,utraciæ,zgubiæ,przegraæ,stracony,przegrany,bez nadziei
vermeiden;unikaæ
vermeidung;unikniêcie,unik
vermitteln;poœredniczyæ (w znalezieniu czegoœ),za³atwiæ (posadê),wystaraæ siê,zaaran¿owaæ,urz¹dziæ,zorganizowaæ,przedstawiaæ (zagadnienie),wyjaœniaæ,przekazywaæ (wiedzê),przekierowaæ (po³¹czenie telefoniczne),po³¹czyæ,mediowaæ,poœredniczyæ w rozwi¹zywaniu sporu
vermuten;przypuszczaæ
vermutlich;domniemany,domyœlny,przypuszczalnie,prawdopodobnie
vermutung;przypuszczenie
vernünftig;rozumny,rozs¹dny
vernunft;rozs¹dek
veröffentlichen;publikowaæ
verpflichtung;obowi¹zek,zobowi¹zanie,zaanga¿owanie,zatrudnienie
verrat;zdrada
verraten;zdradzaæ
verräter;zdrajca,sprzedawczyk
verräterisch;zdradziecki
verrückt;szalony,ob³¹kany,wariacki,dziwny
verrückte;szaleniec
verscherbeln;opchn¹æ,sprzedaæ za bezcen
verschieden;ró¿ny,ró¿nie
verschissen;przesrane,przer¹bane
verschließen;zamkn¹æ na klucz
versehren;zraniæ
versicherung;ubezpieczenie
versorgungsanlage;stacja benzynowa
versorgungsausgleich;wyrównanie roszczeñ rentowych
verspottung;szydzenie,szyderstwo
versprechen;obietnica,przyrzeczenie
versprechung;obietnica,przyrzeczenie
versteck;kryjówka,ukrycie,skrytka,schowek
verstecken;ukrywaæ,chowaæ
versteckspiel;zabawa w chowanego
verstehen;rozumieæ,zrozumieæ
versteinert;skamienia³y
versuch;doœwiadczenie,eksperyment,próba,test
versuchen;próbowaæ,kusiæ
versuchung;pokusa
verteidigung;obrona,obrona
verteidigungsminister;minister obrony
verteilen;rozdawaæ,rozstawiaæ,rozmieszczaæ,rozprowadzaæ,rozsypywaæ,rozlewaæ,rozrzucaæ,rozchodziæ siê,rozpraszaæ siê,rozk³adaæ siê
vertrag;uk³ad,umowa (o kupno),kontrakt (z miejscem pracy),konwencja (polit.),traktat,pakt
vertragsgemäß;wed³ug umowy
vertragswidrig;wbrew umowie
vertrauenswürdig;godny zaufania
vertreten;reprezentowaæ,zastêpowaæ,broniæ,przejœæ siê,rozprostowaæ koœci
vertreter;przedstawiciel
verwaltungsakt;akt administracyjny
verwandt;pokrewny,spokrewniony,powi¹zany
verwerfen;przerwaæ,porzuciæ
verzeichnis;katalog,spis,katalog (inform.)
verzicht;abdykacja
verzinsen;oprocentowywaæ,procentowaæ
verzinsung;oprocentowanie
verzweifeln;byæ zrozpaczonym,zw¹tpiæ,utraciæ nadziejê
vesuv;wezuwiusz
veteran;weteran
vieh;byd³o
viehseuche;zaraza bydlêca,pomór byd³a
viehzucht;hodowla byd³a
viel dank;bardzo dziêkujê
viel;du¿o,wiele,licznie
vielborster;wieloszczet
vielfraß;rosomak,¿ar³ok,ob¿artuch
vielleicht;byæ mo¿e
viellei'cht;mo¿e,byæ mo¿e
vier;cztery,4,godzina czwarta
viereinhalb;cztery i pó³
vierte;czwarty
viertelstunde;kwadrans
vierzehn;czternaœcie
vierzehnte;czternasty
vierzig;czterdzieœci
violett;fioletowy
violine;skrzypce
violoncello;wiolonczela
virus;wirus,wirus (inform.)
visage;gêba,morda
vogel;ptak
vogelbeere;jarzêbina,jarz¹b pospolity
vogelscheuche;strach na wróble
vokal;samog³oska
volkseinkommen;dochód narodowy
voll;pe³ny
vollmacht;pe³nomocnictwo
vollständig;ca³y,kompletny
von a bis z;od a do z
von kind an;od dziecka
von;od,z,ze,przez (w stronie biernej),o
vor allen dingen;przede wszystkim
vor;orzed,tratwa
voraussetzung;za³o¿enie,przes³anka
vorbai sein;min¹æ,przemin¹æ
vorbereiten;przygotowywaæ
vorbild;wzór,wzorzec
vorhaben;zamierzaæ
vorkommen;wystêpowanie,z³o¿e
vorlesen;czytaæ na g³os
vorlesung;wyk³ad
vormundschaftsgericht;s¹d opiekuñczy
vorname;imiê
vorort;przedmieœcie
vorpommern;pomorze przednie
vorrat;zapas
vorratskammer;spi¿arnia
vorrecht;przywilej
vorredner;przedmówca
vors;= vor das
vorsagen;podpowiadaæ
vorschuss;zaliczka
vorsichtig;ostro¿nie
vorstellen;prezentowaæ,wyobra¿aæ sobie
vorteil;zaleta
vortrag;wyst¹pienie,wystêp
vorurteil;uprzedzenie
vorwurf;zarzut
vorziehen;preferowaæ,woleæ,przysun¹æ (do przodu)
vulkan;wulkan
vulkanherd;komora wulkaniczna
vulkaninsel;wyspa wulkaniczna
vulkanisch;wulkaniczny
vulkanismus;wulkanizm
vulkankegel;sto¿ek wulkaniczny
vulva;srom
w;wo³acz
waage;waga (gwiazdozbiór),waga (znak zodiaku)
wachsam;czujny,czujnie
wachsen;rosn¹æ,wzrastaæ,przerastaæ,woskowaæ
wade;³ydka
waffe;broñ,orê¿
waffenstillstand;zawieszenie broni
wagen;wóz,auto
wahl;wybór
wählen;wybieraæ
wähler;wyborca
wahlrecht;prawo wyborcze
wahr;prawdziwy
wahrend;podczas
während;podczas
wahrheit;prawda
wahrheitswert;wartoœæ logiczna
wald;las
waldbeere;czarna jagoda
walderdbeere;poziomka
waldlichtung;polana leœna
wales;walia
walnuß;orech w³oski
walnuss;orzech w³oski
wand;œciana,ska³a stanowi¹ca œcianê,mur
wann;kiedy
wanne;wanna
wanze;pluskwa
wappen;god³o,herb
warm;ciep³y
wärmeübertrager;wymiennik ciep³a
warnen;ostrzegaæ,przestrzegaæ
warnstreik;strajk ostrzegawczy
warnung;ostrze¿enie
warschau;warszawa
warten;czekaæ,wyczekiwaæ
warthe;warta
warum denn nicht?;dlaczego nie?
warum;dlaczego,dlaczego?,czemu
was empfehlen sie uns?;co nam Pan poleca?
was habe ich zu zahlen?;ile siê nale¿y?
was ist denn los?;co siê sta³o?
was ist los?;co siê sta³o?
was kosted es?;ile to kosztuje?
was wünschen sie?;czego sobie ¿yczysz?
was;co,by³em,by³,by³a,by³o
waschbecken;umywalka
waschen;wypraæ,praæ,umyæ,myæ
wasser;woda,wody,napój alkoholowy
wasserball;pi³ka wodna
wasserfall;wodospad
wasserkessel;czajnik
wasserkocher;czajnik elektryczny
wassermann;wodnik (gwiazdozbiór),wodnik (znak zodiaku)
wassermelone;arbuz
wasserstoff;wodór (pierwiastek chemiczny)
waten;brodziæ,brn¹æ
watt;wat
watte;wata
weben;tkaæ
webstuhl;krosno tkackie
wechsel;zmiana,wymiana
wechselstube;kantor wymiany walut
wecken;zabrudziæ,brudziæ
wedeln;machaæ,merdaæ
weg;droga
wegen;z powodu
wegweiser;drogowskaz
wehe;wydma,zaspa œnie¿na,ból,ból porodowy
wehen;bóle porodowe,wiaæ
weib;baba,babsko,kobieta (przest.),¿ona (pogard.)
weiblich;kobiecy,¿eñski,¿eñski
weich;miêkki
weichsel;wis³a
weide;wierzba,pastwisko
weigern;wzbraniaæ siê
weihnachten;bo¿e narodzenie
weihnachtsbaum;choinka
weihnachtsgeschenk;prezent gwiazdkowy
weihnachtslied;kolêda
weihnachtsmann;œwiêty miko³aj
weihnachtsmesse;pasterka
weihwasser;woda œwiêcona
weil;poniewa¿,skoro ju¿
wein;wino
weinberg;winnica
weinbrand;winiak
weinen;p³acz,p³akaæ
weintraube;winogrono
weise;mêdrzec,sposób,m¹dry
weisen;wskazywaæ,pokazywaæ,wydalaæ
weisheit;m¹droœæ
weismachen;wmawiaæ
weiss;bia³y
weiß;biel,kolor bia³y,bia³y
weissagen;wró¿yæ,przepowiadaæ,prorokowaæ
weißrussisch;bia³oruski
weißwein;bia³e wino
weiterhin;dalszy
weitsprung;skok w dal
welken;wiedn¹æ
wellenreiten;surfing
wellenreiter;surfer
wellenreiterin;surferka
wellig;falisty
welt;œwiat
weltanschauung;œwiatopogl¹d
weltmännisch;œwiatowy
wem;komu
wen;kogo
wenig;ma³o,niewiele
wenigborster;sk¹poszczet
weniger;mniej
wenn;jeœli,je¿eli,¿eby tylko (wprowadzaj¹cy zdanie ¿yczeniowe),gdyby tylko,gdy tylko,jak tylko,als ~ › jak gdyby
wer;kto
werdegang;przebieg
werden;stawaæ siê,robiæ siê
werfen;rzucaæ,ciskaæ,wydaæ potomstwo
werft;stocznia
werkbank;warsztat,stó³ roboczy
wertigkeit;wartoœciowoœæ
wertzuwachs;przyrost wartoœci
werwolf;wilko³ak
wesenszug;cecha charakterystyczna
wesir;wezyr
wespe;osa
wessen;czyj?,czyja?,czyje?,czyi
westen;zachód
wettbewerbsfähig;konkurencyjny
wichtig;wa¿ny
widder;baran (gwiazdozbiór),baran (znak zodiaku)
widerlich;ohydny,obrzydliwy
widmung;dedykacja
wie bitte?;s³ucham?,co proszê?
wie fill kosted?;ile to kostuje?
wie geht's?;jak leci?
wie heist du;jak siê nazywasz
wie schade!;jaka szkoda!
wie wäre es damit?;co na to powiesz?,co ty na to?
wie;ile,jak,jak (pytaj¹co),jak (porównywawczo),jak (porównywawczo przy rzeczownikach)
wieder;znowu
wiegen;wa¿yæ
wiegenlied;ko³ysanka
wien;wiedeñ
wierviel?;ile?
wiese;³¹ka
wiesel;³asica
wiessen;wiedzieæ,wiedza
wiessenschaft;nauka
wild;dziki
wildbeere;czarna jagoda
wilde vogelkirsche;czereœnia
willkommen;witaj
willkür;samowola
willkürlich;samowolny
wilmesau;wilamowice
wilna;wilno
wimper;rzêsa
wind;wiatr
winde;podnoœnik
windel;pielucha
windhose;tr¹ba powietrzna
winkel;k¹t
winter;zima
winterblumenkohl;broku³
wir;my
wirbelsturm;tr¹ba powietrzna
wirken;dzia³aæ,skutkowaæ,sprawiaæ wra¿enie,wydawaæ siê,czyniæ
wirklich;rzeczywisty,faktyczny,prawdziwy,rzeczywiœcie,faktycznie,naprawdê
wirklichkeit;rzeczywistoœæ
wirksam;skuteczny
wirt;gospodarz
wirtschaft;gospodarka
wirtschaftswissenschaftler;ekonomista
wirtshaus;karczma,karczma
wisent;¿ubr
wismut;bizmut (pierwiastek chemiczny)
wissen;wiedza,wiedzieæ
wissenschaft;nauka
wissenschaftler;naukowiec
wissenschaftlich;naukowy
witwe;wdowa
witz;dowcip,kawa³,¿art,b³yskotliwoœæ,ciêty jêzyk
wo denn?;gdzie?
wo;gdzie
woche;tydzieñ
wochnen;mieszkaæ
wodka;wódka
woher;sk¹d
wohin;dok¹d?,gdzie
wohlergehen;powodzenie,dobre samopoczucie,dobra sytuacja,pomyœlnoœæ
wohlwollen;¿yczliwoœæ
wohlwollend;¿yczliwy
wohnen;mieszkaæ
wohnung;mieszkanie
wohnungsrecht;prawo mieszkaniowe,s³u¿ebnoœæ mieszkania
wohnungswechsel;zmiana mieszkania
wohnverhältnisse;warunki mieszkaniowe
wohnviertel;dzielnica mieszkaniowa
wohnzimmer;pokój mieszkalny
woiwodschaft;województwo
woiwodschafts;wojewódzki
wölben;sklepiaæ,wypinaæ
wölbung;sklepienie,wygiêcie,wydêcie,wybrzuszenie
wolf;wilk
wolfram;wolfram (pierwiastek chemiczny)
wolke;chmura
wolkenlos;bezchmurny
wolkig;pochmurny
wolle;we³na
wollen;chcieæ,woleæ,we³niany
womit;z czym,czym
wonne;rozkosz
wort;s³owo,wyraz
wortbildung;s³owotwórstwo
wortbrüchig;nies³owny
wörtchen;s³ówko
wörterbuch;s³ownik
wörterverzeichnis;spis wyrazów
wortkarg;ma³omówny
wortlaut;dos³owne brzmienie,oryginalny tekst
wörtlich;dos³ownie,dos³owny
wortreich;wielos³owny
wortspiel;gra s³ów
wortstamm;temat wyrazu
wortstellung;szyk wyrazów w zdaniu
wortwechsel;sprzeczka
wortwörtlich;dos³ownie
wrack;wrak
wreschen;wrzeœnia
wringen;wy¿ymaæ
wringmaschine;wy¿ymaczka
wucher;lichwiarstwo
wucherer;lichwiarz
wuchern;bujnie rosn¹æ
wuchs;wzrost
wucht;si³a,impet
wuchtig;masywny,potê¿ny,silny
wuderbar;cudowny,cudownie
wühlen;ryæ,grzebaæ
wünsch;¿yczenie
wünschelrute;ró¿d¿ka
wünschen;¿yczyæ
wünschenswert;po¿¹dany
würde;godnoœæ,dostojeñstwo
würdelos;niegodny
würdenträger;dostojnik,dygnitarz
würdevoll;pe³en dostojeñstwa,godnoœci
würdig;dostojny,godny,godzien
würdigen;oceniaæ,wyra¿aæ siê z uznaniem
würdigung;ocena,wyrazy uznania
würfel;szeœcian,kostka (do gry)
würfeln;graæ w koœci,rzucaæ kostk¹ do gry,krajaæ w kostkê
würfelqualle;kostkowiec
würfelspiel;gra w koœci
würfelzucker;cukier w kostkach
würgemal;œlad po duszeniu
würgen;dusiæ,d³awiæ siê
würger;dusiciel,dzierzba
würmchen;robaczek
würstchen;kie³baska
württemberg;wirtembergia
würze;przyprawa
würzen;przyprawiaæ
wüste;pustynia
wüsten;pustynny
wüstling;rozpustnik
wüten;wœciekaæ siê
wütend;wœciek³y
wund;zraniony,obola³y
wunde;rana
wunder wirken;czyniæ cuda,dzia³aæ nadzwyczaj skutecznie
wunder;cud,cudo,niezwyk³e osi¹gniêcie
wunderbar;cudowny,cudownie
wunderhübsch;cudny,cudowny
wunderkerze;zimne ognie
wunderkind;cudowne dziecko
wunderlich;dziwaczny
wundern;dziwiæ,zadziwiaæ
wunderschön;przeœliczny
wundertat;cud
wundertäter;cudotwórca
wundertätig;cudotwórczy
wundertier;dziwol¹g
wunderwerk;cud
wundfieber;gor¹czka pourazowa
wundmal;stygmat
wundpflaster;plaster opatrunkowy
wundstarrkrampf;tê¿ec
wunsch;pragnienie,¿yczenie
wunschgemäß;wed³ug ¿yczenia
wunschkonzert;koncert ¿yczeñ
wunschtraum;marzenie
wunschzettel;spis ¿yczeñ
wurf;miot,rzut
wurfleine;rzutka (¿egl.)
wurfspeer;oszczep,dziryt
wurfspieß;oszczep,dziryt
wurm;robak,glista
wurmfortsatz;wyrostek robaczkowy
wurmkrankheit;robaczyca
wurmmittel;œrodek przeciw robakom
wurmstichig;robaczywy
wurst;kie³basa
wursteln;partoliæ,grzebaæ siê
wursthandlung;wêdliniarnia
wurstmacher;kie³baœnik
wurstvergiftung;zatrucie jadem kie³basianym
wurstwaren;wêdliny
wurzel;korzeñ,pierwiastek,rdzeñ
wurzelbehandlung;leczenie korzenia zêba
wurzelexponent;wyk³adnik pierwiastka
wurzelgemüse;warzywa korzeniowe
wurzelhaar;w³oœnik
wurzelhaut;ozêbna
wurzelsilbe;zg³oska rdzenna
wurzelstock;k³¹cze
wurzelzeichen;znak pierwiastka
wurzelziehen;pierwiastkowanie
wuschelig;kosmaty
wut;z³oœæ,wœciek³oœæ
wutanfall;wybuch wœciek³oœci
wutausbruch;wybuch wœciek³oœci
wutentbrannt;rozwœcieczony
xenon;ksenon (pierwiastek chemiczny)
xerographie;kserografia
xylophon;ksylofon
ytterbium;iterb (pierwiastek chemiczny)
yttrium;itr (pierwiastek chemiczny)
zacken;z¹b,ostrze
zackenlinie;linia ³amana
zaghaft;nieœmia³y
zäh;³ykowaty,uporczywy,wytrzyma³y
zähflüssig;lepki,ci¹gliwy
zähigkeit;ci¹gliwoœæ,upór,wytrzyma³oœæ
zahlbar;p³atny
zählebig;¿ywotny
zählen;liczyæ
zahlen;policzyæ,liczyæ,zap³aciæ,p³aciæ
zahlengerade;oœ liczbowa
zähler;licznik
zahlreich;liczny,mnogi
zahlungsbedingungen;warunki p³atnoœci
zahlungsfähig;wyp³acalny
zahlungsfrist;termin p³atnoœci
zahlungsmittel;œrodek p³atniczy
zahlungsunfähig;niewyp³acalny
zahlungsverweigerung;odmowa zap³aty
zählwerk;mechanizm licz¹cy
zahm;oswojony
zähmen;oswajaæ
zähmung;oswojenie,poskromienie
zahn;z¹b
zahnarzt;dentysta
zahnärztin;dentystka
zahnärztlich;stomatologiczny,dentystyczny
zahnbürste;szczoteczka do zêbów
zahndurchbruch;wyrzynanie siê zêbów
zahne;œmietana
zahnen;z¹bkowanie,z¹bkowaæ
zahnersatz;proteza (zêbowa)
zahnfach;zêbodó³
zahnfleisch;dzi¹s³o
zahnheilkunde;stomatologia
zahnkaries;próchnica (zêba)
zahnklinik;klinika stomatologiczna
zahnlaut;g³oska zêbowa
zahnlos;bezzêbny
zahnlücke;ubytki w uzêbieniu
zahnmark;miazga zêbowa
zahnpaste;pasta do zêbów
zahnpflege;higiena zêbów
zahnrad;ko³o zêbate
zahnradgetriebe;przek³adnia zêbata
zahnschmelz;szkliwo zêba
zahnschmerz;ból zêba
zahnstein;kamieñ nazêbny
zahnstocher;wyka³aczka
zahnwurzel;korzeñ zêba
zahnziehen;wyrwanie zêba
zander;sandacz
zange;szczypce,kleszcze
zank;k³ótnia
zankapfel;jab³ko niezgody
zanken;besztaæ
zänkisch;k³ótliwy
zanklust;k³ótliwoœæ
zanksucht;k³ótliwoœæ
zäpfchen;czopek
zapfen;czop,sopel,szyszka,toczyæ
zapfenstreich;capstrzyk
zapfsäule;dystrybutor paliwa
zappeln;wierciæ siê (o dziecku)
zappelphilipp;wiercipiêta
zar;car
zart;delikatny,kruchy
zartbesaitet;wra¿liwy
zartfühlend;subtelny,taktowny
zartgefühl;delikatnoœæ
zärtlich;pieszczotliwy,czu³y
zärtlichkeit;czu³oœæ,tkliwoœæ
zauber;czary
zauberei;czarodziejstwo
zauberer;czarownik,czarodziej
zauberhaft;czarodziejski
zauberin;czarodziejka,czarownica
zauberkraft;moc czarodziejska
zauberkunststück;sztuczka magiczna
zaubern;czarowaæ
zauberstab;czarodziejska ró¿d¿ka
zaudern;zwlekaæ,oci¹gaæ siê
zaum;uzda
zäumen;kie³znaæ
zaun;p³ot,parkan
zaunkönig;strzy¿yk
zebra;zebra
zebrastreifen;przejœcie dla pieszych
zebu;zebu
zeche;górn. kopalnia,rachunek
zechen;ucztowaæ
zechpreller;szalbierz
zechprellerei;szalbierstwo
zecke;kleszcz
zeder;cedr
zehe;palec u stopy
zehn;dziesiêæ,godzina dziesi¹ta
zehnfingersystem;metoda pisania na klawiaturze dziesiêcioma palcami
zehnkampf;dziesiêciobój
zehnkämpfer;dziesiêcioboista
zehnte;dziesi¹ty
zeichen;znak
zeichenblock;blok rysunkowy
zeichenerklärung;legenda,objaœnienie znaków
zeichenfilm;film rysunkowy
zeichengerät;przybory kreœlarskie
zeichenheft;szkicownik
zeichenmaschine;aparat kreœlarski
zeichenpapier;papier rysunkowy
zeichensetzung;interpunkcja,przestankowanie
zeichentalent;talent rysowniczy
zeichentisch;stó³ kreœlarski
zeichnen;rysownictwo,kreœlarstwo,rysowaæ,kreœliæ
zeichner;rysownik,ilustrator,kreœlarz
zeichnerisch;rysunkowy,wykreœlny
zeichnung;rysunek,wzór,deseñ
zeigefinger;palec wskazuj¹cy
zeigen;pokazywaæ,wykazywaæ
zeiger;wskazówka,strza³ka,wskaŸnik (inform.)
zeigerausschlag;wychylenie wskazówki
zeile;wiersz (linijka tekstu)
zeilenabstand;odstêp miêdzy wierszami
zein;dziesiêæ
zeisig;czy¿yk
zeit;czas,pora,okres,epoka,chwila
zeitabschnitt;okres,czas
zeitalter;wiek,epoka
zeitbombe;bomba zegarowa
zeitersparnis;oszczêdnoœæ czasu
zeitfahren;jazda na czas
zeitfolge;porz¹dek chronologiczny
zeitform;forma czasu
zeitfunk;aktualnoœci
